filepath,label,cluster,umap_x,umap_y
data\raw\HAM10000_images_part_1\ISIC_0027539.jpg,nevus,1,4.3742766,3.0964413
data\raw\HAM10000_images_part_2\ISIC_0031493.jpg,nevus,1,5.1756396,1.096659
data\raw\HAM10000_images_part_1\ISIC_0028462.jpg,nevus,2,2.650591,0.80920774
data\raw\HAM10000_images_part_2\ISIC_0029992.jpg,nevus,2,4.014267,1.6507963
data\raw\HAM10000_images_part_1\ISIC_0025739.jpg,nevus,2,3.2227583,1.6209602
data\raw\HAM10000_images_part_2\ISIC_0033028.jpg,nevus,0,3.9160295,-2.5471365
data\raw\HAM10000_images_part_2\ISIC_0033659.jpg,seborrheic_keratosis,0,5.77824,-3.3258302
data\raw\HAM10000_images_part_1\ISIC_0027102.jpg,melanoma,0,5.8649597,-5.382094
data\raw\HAM10000_images_part_1\ISIC_0025725.jpg,nevus,2,2.5803013,2.2145412
data\raw\HAM10000_images_part_2\ISIC_0032826.jpg,seborrheic_keratosis,2,5.0430975,0.08262456
data\raw\HAM10000_images_part_1\ISIC_0028009.jpg,nevus,0,2.7631545,-2.9703877
data\raw\HAM10000_images_part_2\ISIC_0033867.jpg,nevus,0,5.5504236,-0.44906592
data\raw\HAM10000_images_part_2\ISIC_0031985.jpg,nevus,1,5.8929267,-0.43853703
data\raw\HAM10000_images_part_1\ISIC_0026833.jpg,nevus,0,3.78483,0.16889676
data\raw\HAM10000_images_part_2\ISIC_0030642.jpg,nevus,1,8.924277,-0.4722648
data\raw\HAM10000_images_part_1\ISIC_0025300.jpg,nevus,0,5.1353297,-1.5584402
data\raw\HAM10000_images_part_1\ISIC_0028258.jpg,seborrheic_keratosis,0,3.2057526,-1.1219598
data\raw\HAM10000_images_part_2\ISIC_0030020.jpg,nevus,2,5.0487456,2.6455214
data\raw\HAM10000_images_part_1\ISIC_0024997.jpg,seborrheic_keratosis,0,5.7138906,-4.9028106
data\raw\HAM10000_images_part_1\ISIC_0024609.jpg,nevus,2,4.9228787,2.524341
data\raw\HAM10000_images_part_2\ISIC_0032798.jpg,nevus,0,4.5382476,-1.408252
data\raw\HAM10000_images_part_1\ISIC_0029117.jpg,nevus,2,4.5851464,1.2446254
data\raw\HAM10000_images_part_1\ISIC_0025962.jpg,nevus,2,2.5195954,2.2972467
data\raw\HAM10000_images_part_2\ISIC_0029452.jpg,nevus,2,1.5715519,-2.021694
data\raw\HAM10000_images_part_2\ISIC_0033289.jpg,nevus,2,3.2089107,-0.5065126
data\raw\HAM10000_images_part_2\ISIC_0032337.jpg,nevus,1,5.7484384,2.3450673
data\raw\HAM10000_images_part_1\ISIC_0028047.jpg,nevus,2,3.649949,0.27341908
