lesion_id,n_images
HAM_0000000,2
HAM_0000001,1
HAM_0000002,3
HAM_0000003,1
HAM_0000004,1
HAM_0000006,3
HAM_0000007,1
HAM_0000008,1
HAM_0000010,1
HAM_0000011,1
HAM_0000012,2
HAM_0000013,1
HAM_0000014,3
HAM_0000015,1
HAM_0000016,1
HAM_0000017,1
HAM_0000018,1
HAM_0000019,1
HAM_0000021,1
HAM_0000022,1
HAM_0000023,1
HAM_0000025,3
HAM_0000026,1
HAM_0000027,1
HAM_0000028,2
HAM_0000029,1
HAM_0000030,1
HAM_0000031,1
HAM_0000032,1
HAM_0000033,1
HAM_0000034,1
HAM_0000035,1
HAM_0000036,1
HAM_0000037,1
HAM_0000038,1
HAM_0000039,1
HAM_0000040,1
HAM_0000041,1
HAM_0000042,3
HAM_0000043,1
HAM_0000044,2
HAM_0000045,1
HAM_0000046,1
HAM_0000047,1
HAM_0000048,2
HAM_0000050,2
HAM_0000051,1
HAM_0000052,1
HAM_0000053,1
HAM_0000054,2
HAM_0000055,1
HAM_0000056,1
HAM_0000057,2
HAM_0000058,1
HAM_0000059,2
HAM_0000060,2
HAM_0000061,1
HAM_0000062,1
HAM_0000063,1
HAM_0000064,3
HAM_0000066,1
HAM_0000067,2
HAM_0000068,2
HAM_0000069,1
HAM_0000070,2
HAM_0000071,1
HAM_0000072,2
HAM_0000073,2
HAM_0000074,1
HAM_0000075,1
HAM_0000076,1
HAM_0000077,1
HAM_0000078,1
HAM_0000079,2
HAM_0000080,2
HAM_0000081,1
HAM_0000083,2
HAM_0000084,1
HAM_0000085,1
HAM_0000086,1
HAM_0000087,2
HAM_0000088,1
HAM_0000089,1
HAM_0000090,1
HAM_0000091,1
HAM_0000093,1
HAM_0000094,1
HAM_0000095,1
HAM_0000096,1
HAM_0000097,3
HAM_0000098,1
HAM_0000099,2
HAM_0000100,1
HAM_0000101,1
HAM_0000102,2
HAM_0000103,1
HAM_0000104,2
HAM_0000105,1
HAM_0000106,1
HAM_0000107,1
HAM_0000108,1
HAM_0000110,1
HAM_0000111,1
HAM_0000112,2
HAM_0000113,2
HAM_0000114,2
HAM_0000115,1
HAM_0000116,1
HAM_0000117,1
HAM_0000118,2
HAM_0000119,1
HAM_0000120,1
HAM_0000121,1
HAM_0000122,1
HAM_0000123,1
HAM_0000124,1
HAM_0000125,3
HAM_0000126,1
HAM_0000127,1
HAM_0000128,1
HAM_0000129,1
HAM_0000130,1
HAM_0000131,1
HAM_0000132,1
HAM_0000133,1
HAM_0000134,1
HAM_0000135,2
HAM_0000136,2
HAM_0000137,1
HAM_0000138,2
HAM_0000139,1
HAM_0000140,1
HAM_0000141,1
HAM_0000142,1
HAM_0000143,1
HAM_0000144,2
HAM_0000145,1
HAM_0000146,1
HAM_0000147,1
HAM_0000148,1
HAM_0000149,2
HAM_0000150,2
HAM_0000151,1
HAM_0000152,1
HAM_0000154,1
HAM_0000155,1
HAM_0000156,1
HAM_0000157,1
HAM_0000158,1
HAM_0000159,2
HAM_0000160,1
HAM_0000161,1
HAM_0000162,1
HAM_0000163,2
HAM_0000164,2
HAM_0000165,1
HAM_0000166,1
HAM_0000167,1
HAM_0000168,1
HAM_0000169,2
HAM_0000170,1
HAM_0000171,1
HAM_0000172,1
HAM_0000173,1
HAM_0000174,2
HAM_0000175,1
HAM_0000176,3
HAM_0000177,1
HAM_0000178,1
HAM_0000179,3
HAM_0000180,1
HAM_0000181,2
HAM_0000182,3
HAM_0000183,1
HAM_0000184,1
HAM_0000185,1
HAM_0000186,1
HAM_0000187,1
HAM_0000188,3
HAM_0000190,1
HAM_0000191,1
HAM_0000192,1
HAM_0000194,2
HAM_0000196,1
HAM_0000197,1
HAM_0000198,1
HAM_0000199,1
HAM_0000200,1
HAM_0000201,1
HAM_0000202,1
HAM_0000203,1
HAM_0000204,3
HAM_0000205,1
HAM_0000206,2
HAM_0000207,1
HAM_0000208,3
HAM_0000209,1
HAM_0000210,1
HAM_0000211,2
HAM_0000213,1
HAM_0000214,1
HAM_0000215,1
HAM_0000216,3
HAM_0000217,2
HAM_0000218,1
HAM_0000219,1
HAM_0000220,1
HAM_0000221,1
HAM_0000222,2
HAM_0000223,1
HAM_0000224,1
HAM_0000225,1
HAM_0000226,1
HAM_0000227,1
HAM_0000228,1
HAM_0000229,1
HAM_0000230,2
HAM_0000231,2
HAM_0000232,1
HAM_0000233,2
HAM_0000234,1
HAM_0000235,1
HAM_0000236,1
HAM_0000237,4
HAM_0000238,1
HAM_0000240,1
HAM_0000241,1
HAM_0000242,1
HAM_0000243,1
HAM_0000244,1
HAM_0000245,1
HAM_0000246,1
HAM_0000247,1
HAM_0000248,1
HAM_0000249,2
HAM_0000250,1
HAM_0000251,1
HAM_0000252,1
HAM_0000253,1
HAM_0000254,1
HAM_0000255,1
HAM_0000256,1
HAM_0000257,1
HAM_0000258,2
HAM_0000259,3
HAM_0000260,1
HAM_0000261,2
HAM_0000262,2
HAM_0000264,1
HAM_0000265,1
HAM_0000266,2
HAM_0000267,2
HAM_0000268,3
HAM_0000269,2
HAM_0000270,1
HAM_0000271,1
HAM_0000272,1
HAM_0000273,2
HAM_0000274,1
HAM_0000275,3
HAM_0000276,1
HAM_0000277,1
HAM_0000278,1
HAM_0000279,2
HAM_0000280,1
HAM_0000281,1
HAM_0000282,2
HAM_0000283,1
HAM_0000284,2
HAM_0000285,1
HAM_0000287,2
HAM_0000288,2
HAM_0000289,1
HAM_0000290,1
HAM_0000291,3
HAM_0000292,1
HAM_0000293,1
HAM_0000294,2
HAM_0000295,1
HAM_0000296,1
HAM_0000297,1
HAM_0000298,1
HAM_0000299,2
HAM_0000300,1
HAM_0000301,1
HAM_0000302,2
HAM_0000303,1
HAM_0000304,3
HAM_0000305,1
HAM_0000306,1
HAM_0000307,1
HAM_0000308,1
HAM_0000309,1
HAM_0000310,1
HAM_0000311,1
HAM_0000312,1
HAM_0000313,3
HAM_0000314,1
HAM_0000315,1
HAM_0000316,1
HAM_0000317,1
HAM_0000318,1
HAM_0000319,1
HAM_0000320,2
HAM_0000321,3
HAM_0000322,2
HAM_0000323,1
HAM_0000324,2
HAM_0000325,1
HAM_0000326,1
HAM_0000327,1
HAM_0000328,1
HAM_0000329,1
HAM_0000330,1
HAM_0000331,1
HAM_0000332,2
HAM_0000333,1
HAM_0000334,1
HAM_0000335,1
HAM_0000336,1
HAM_0000337,2
HAM_0000338,1
HAM_0000339,1
HAM_0000340,1
HAM_0000341,1
HAM_0000342,2
HAM_0000343,1
HAM_0000344,2
HAM_0000345,1
HAM_0000346,1
HAM_0000347,1
HAM_0000348,1
HAM_0000350,1
HAM_0000351,2
HAM_0000353,1
HAM_0000354,1
HAM_0000355,1
HAM_0000357,1
HAM_0000358,1
HAM_0000359,1
HAM_0000360,1
HAM_0000362,2
HAM_0000363,1
HAM_0000364,1
HAM_0000365,1
HAM_0000366,2
HAM_0000367,1
HAM_0000368,1
HAM_0000369,1
HAM_0000370,1
HAM_0000371,1
HAM_0000372,1
HAM_0000373,2
HAM_0000374,1
HAM_0000375,2
HAM_0000376,2
HAM_0000377,1
HAM_0000378,2
HAM_0000379,1
HAM_0000380,2
HAM_0000381,1
HAM_0000382,1
HAM_0000383,3
HAM_0000384,1
HAM_0000385,1
HAM_0000386,1
HAM_0000387,1
HAM_0000388,3
HAM_0000389,1
HAM_0000390,1
HAM_0000391,3
HAM_0000392,2
HAM_0000395,2
HAM_0000396,2
HAM_0000397,3
HAM_0000398,1
HAM_0000399,1
HAM_0000400,1
HAM_0000401,1
HAM_0000402,3
HAM_0000403,1
HAM_0000404,1
HAM_0000405,1
HAM_0000406,2
HAM_0000407,3
HAM_0000408,1
HAM_0000409,1
HAM_0000410,1
HAM_0000411,1
HAM_0000412,1
HAM_0000413,1
HAM_0000414,1
HAM_0000416,1
HAM_0000417,2
HAM_0000418,1
HAM_0000419,1
HAM_0000420,1
HAM_0000421,1
HAM_0000422,1
HAM_0000423,1
HAM_0000424,1
HAM_0000425,2
HAM_0000426,1
HAM_0000427,1
HAM_0000428,1
HAM_0000429,1
HAM_0000430,1
HAM_0000431,2
HAM_0000432,2
HAM_0000433,2
HAM_0000434,1
HAM_0000435,1
HAM_0000436,1
HAM_0000437,1
HAM_0000438,1
HAM_0000439,3
HAM_0000440,1
HAM_0000441,1
HAM_0000442,1
HAM_0000443,1
HAM_0000444,1
HAM_0000445,1
HAM_0000446,1
HAM_0000447,1
HAM_0000448,2
HAM_0000449,1
HAM_0000450,1
HAM_0000452,1
HAM_0000453,1
HAM_0000454,1
HAM_0000455,1
HAM_0000458,1
HAM_0000459,1
HAM_0000461,1
HAM_0000464,3
HAM_0000465,1
HAM_0000466,1
HAM_0000467,1
HAM_0000468,3
HAM_0000469,1
HAM_0000470,1
HAM_0000471,1
HAM_0000472,1
HAM_0000473,1
HAM_0000474,1
HAM_0000475,1
HAM_0000476,2
HAM_0000477,1
HAM_0000478,1
HAM_0000479,1
HAM_0000480,1
HAM_0000481,1
HAM_0000482,1
HAM_0000483,3
HAM_0000484,1
HAM_0000485,1
HAM_0000486,1
HAM_0000487,1
HAM_0000488,1
HAM_0000489,1
HAM_0000491,1
HAM_0000492,3
HAM_0000493,1
HAM_0000495,1
HAM_0000497,1
HAM_0000499,1
HAM_0000500,2
HAM_0000503,1
HAM_0000505,2
HAM_0000506,1
HAM_0000507,1
HAM_0000508,1
HAM_0000509,4
HAM_0000510,1
HAM_0000511,1
HAM_0000513,1
HAM_0000514,1
HAM_0000515,1
HAM_0000516,1
HAM_0000517,2
HAM_0000518,1
HAM_0000519,1
HAM_0000520,1
HAM_0000521,2
HAM_0000522,1
HAM_0000523,2
HAM_0000524,2
HAM_0000525,1
HAM_0000526,1
HAM_0000527,3
HAM_0000528,1
HAM_0000529,1
HAM_0000530,1
HAM_0000531,2
HAM_0000532,1
HAM_0000533,1
HAM_0000534,2
HAM_0000535,1
HAM_0000536,2
HAM_0000537,1
HAM_0000538,1
HAM_0000539,1
HAM_0000540,1
HAM_0000541,1
HAM_0000542,1
HAM_0000543,1
HAM_0000544,1
HAM_0000546,1
HAM_0000547,3
HAM_0000548,1
HAM_0000550,1
HAM_0000551,1
HAM_0000553,3
HAM_0000555,1
HAM_0000556,3
HAM_0000557,1
HAM_0000558,1
HAM_0000559,1
HAM_0000560,1
HAM_0000561,1
HAM_0000562,1
HAM_0000563,1
HAM_0000564,1
HAM_0000565,1
HAM_0000566,1
HAM_0000567,1
HAM_0000568,1
HAM_0000569,2
HAM_0000570,1
HAM_0000571,2
HAM_0000572,1
HAM_0000573,1
HAM_0000574,1
HAM_0000575,1
HAM_0000576,1
HAM_0000577,1
HAM_0000578,2
HAM_0000579,3
HAM_0000580,1
HAM_0000581,2
HAM_0000582,1
HAM_0000583,1
HAM_0000584,1
HAM_0000585,1
HAM_0000586,1
HAM_0000587,1
HAM_0000588,2
HAM_0000589,2
HAM_0000590,1
HAM_0000591,1
HAM_0000592,1
HAM_0000593,2
HAM_0000594,1
HAM_0000595,1
HAM_0000596,1
HAM_0000597,3
HAM_0000598,1
HAM_0000599,1
HAM_0000600,1
HAM_0000601,1
HAM_0000602,1
HAM_0000603,3
HAM_0000604,1
HAM_0000605,1
HAM_0000606,1
HAM_0000607,1
HAM_0000608,1
HAM_0000609,2
HAM_0000610,1
HAM_0000611,3
HAM_0000613,1
HAM_0000614,1
HAM_0000615,1
HAM_0000616,1
HAM_0000617,1
HAM_0000618,1
HAM_0000619,1
HAM_0000620,1
HAM_0000621,1
HAM_0000622,1
HAM_0000623,1
HAM_0000624,1
HAM_0000625,1
HAM_0000626,2
HAM_0000627,1
HAM_0000628,1
HAM_0000629,1
HAM_0000630,1
HAM_0000631,1
HAM_0000632,1
HAM_0000633,1
HAM_0000634,2
HAM_0000635,1
HAM_0000636,1
HAM_0000637,1
HAM_0000638,1
HAM_0000639,2
HAM_0000640,1
HAM_0000641,1
HAM_0000642,1
HAM_0000643,1
HAM_0000644,1
HAM_0000645,2
HAM_0000646,1
HAM_0000647,1
HAM_0000648,1
HAM_0000649,1
HAM_0000650,1
HAM_0000651,1
HAM_0000652,1
HAM_0000653,1
HAM_0000654,1
HAM_0000656,1
HAM_0000657,1
HAM_0000659,1
HAM_0000660,1
HAM_0000661,1
HAM_0000662,3
HAM_0000663,1
HAM_0000664,1
HAM_0000665,1
HAM_0000666,2
HAM_0000667,1
HAM_0000668,1
HAM_0000669,1
HAM_0000670,1
HAM_0000671,1
HAM_0000672,1
HAM_0000674,1
HAM_0000675,2
HAM_0000676,2
HAM_0000677,1
HAM_0000678,1
HAM_0000679,1
HAM_0000680,1
HAM_0000681,1
HAM_0000682,1
HAM_0000684,1
HAM_0000685,1
HAM_0000686,1
HAM_0000689,2
HAM_0000690,2
HAM_0000691,1
HAM_0000692,1
HAM_0000693,1
HAM_0000694,1
HAM_0000695,1
HAM_0000696,1
HAM_0000697,1
HAM_0000698,2
HAM_0000699,1
HAM_0000700,1
HAM_0000701,1
HAM_0000702,1
HAM_0000703,1
HAM_0000704,3
HAM_0000705,1
HAM_0000706,3
HAM_0000707,2
HAM_0000708,1
HAM_0000709,3
HAM_0000710,2
HAM_0000711,1
HAM_0000712,1
HAM_0000713,1
HAM_0000714,1
HAM_0000715,1
HAM_0000716,1
HAM_0000717,1
HAM_0000721,2
HAM_0000722,1
HAM_0000723,1
HAM_0000724,1
HAM_0000725,1
HAM_0000726,1
HAM_0000727,1
HAM_0000728,1
HAM_0000729,1
HAM_0000730,1
HAM_0000731,1
HAM_0000732,1
HAM_0000733,1
HAM_0000734,1
HAM_0000735,1
HAM_0000736,1
HAM_0000737,1
HAM_0000738,1
HAM_0000739,1
HAM_0000740,1
HAM_0000741,2
HAM_0000742,1
HAM_0000743,1
HAM_0000744,3
HAM_0000745,1
HAM_0000746,1
HAM_0000747,3
HAM_0000748,1
HAM_0000749,1
HAM_0000750,1
HAM_0000751,2
HAM_0000752,2
HAM_0000753,1
HAM_0000754,2
HAM_0000755,1
HAM_0000756,1
HAM_0000758,1
HAM_0000759,2
HAM_0000760,1
HAM_0000761,1
HAM_0000762,3
HAM_0000763,1
HAM_0000764,1
HAM_0000765,1
HAM_0000766,1
HAM_0000767,1
HAM_0000768,1
HAM_0000770,1
HAM_0000771,1
HAM_0000772,2
HAM_0000773,1
HAM_0000774,1
HAM_0000775,2
HAM_0000776,1
HAM_0000777,1
HAM_0000778,3
HAM_0000779,1
HAM_0000780,1
HAM_0000782,1
HAM_0000783,1
HAM_0000784,1
HAM_0000785,1
HAM_0000786,1
HAM_0000787,1
HAM_0000788,1
HAM_0000789,1
HAM_0000790,2
HAM_0000792,1
HAM_0000793,1
HAM_0000794,1
HAM_0000796,2
HAM_0000797,1
HAM_0000798,4
HAM_0000799,3
HAM_0000800,1
HAM_0000801,1
HAM_0000802,3
HAM_0000803,1
HAM_0000804,1
HAM_0000805,2
HAM_0000806,1
HAM_0000808,1
HAM_0000809,1
HAM_0000810,1
HAM_0000811,1
HAM_0000812,1
HAM_0000813,1
HAM_0000814,2
HAM_0000815,2
HAM_0000816,1
HAM_0000817,1
HAM_0000818,1
HAM_0000819,1
HAM_0000820,1
HAM_0000821,2
HAM_0000822,1
HAM_0000824,1
HAM_0000825,1
HAM_0000826,1
HAM_0000828,1
HAM_0000829,1
HAM_0000830,1
HAM_0000831,1
HAM_0000833,2
HAM_0000834,1
HAM_0000835,6
HAM_0000836,4
HAM_0000837,2
HAM_0000838,1
HAM_0000839,1
HAM_0000840,1
HAM_0000841,1
HAM_0000842,1
HAM_0000843,1
HAM_0000844,1
HAM_0000846,1
HAM_0000847,1
HAM_0000848,1
HAM_0000849,1
HAM_0000850,1
HAM_0000851,1
HAM_0000852,1
HAM_0000853,1
HAM_0000854,1
HAM_0000855,3
HAM_0000856,2
HAM_0000857,1
HAM_0000858,1
HAM_0000860,1
HAM_0000861,2
HAM_0000862,1
HAM_0000863,2
HAM_0000864,1
HAM_0000865,1
HAM_0000866,1
HAM_0000867,1
HAM_0000869,1
HAM_0000870,1
HAM_0000871,3
HAM_0000873,1
HAM_0000874,1
HAM_0000875,1
HAM_0000876,2
HAM_0000877,1
HAM_0000878,1
HAM_0000880,2
HAM_0000881,2
HAM_0000882,1
HAM_0000883,1
HAM_0000884,1
HAM_0000885,1
HAM_0000886,2
HAM_0000887,1
HAM_0000888,2
HAM_0000889,4
HAM_0000890,1
HAM_0000891,1
HAM_0000892,2
HAM_0000893,5
HAM_0000894,1
HAM_0000895,1
HAM_0000896,2
HAM_0000897,1
HAM_0000898,1
HAM_0000899,1
HAM_0000900,2
HAM_0000901,1
HAM_0000903,1
HAM_0000904,2
HAM_0000905,1
HAM_0000906,1
HAM_0000907,2
HAM_0000908,1
HAM_0000910,2
HAM_0000911,1
HAM_0000912,1
HAM_0000913,1
HAM_0000914,1
HAM_0000916,1
HAM_0000917,2
HAM_0000919,1
HAM_0000920,1
HAM_0000921,1
HAM_0000922,2
HAM_0000923,1
HAM_0000924,2
HAM_0000925,1
HAM_0000926,1
HAM_0000927,1
HAM_0000928,2
HAM_0000929,1
HAM_0000930,2
HAM_0000932,1
HAM_0000933,2
HAM_0000935,1
HAM_0000936,1
HAM_0000937,1
HAM_0000938,1
HAM_0000939,1
HAM_0000941,1
HAM_0000942,1
HAM_0000943,1
HAM_0000944,1
HAM_0000945,1
HAM_0000946,1
HAM_0000947,2
HAM_0000948,1
HAM_0000949,1
HAM_0000950,1
HAM_0000951,1
HAM_0000952,3
HAM_0000955,1
HAM_0000956,1
HAM_0000957,1
HAM_0000958,1
HAM_0000959,4
HAM_0000960,2
HAM_0000961,2
HAM_0000962,1
HAM_0000963,1
HAM_0000964,1
HAM_0000965,2
HAM_0000966,1
HAM_0000969,1
HAM_0000970,3
HAM_0000971,2
HAM_0000972,1
HAM_0000973,1
HAM_0000974,1
HAM_0000975,1
HAM_0000976,2
HAM_0000977,2
HAM_0000978,1
HAM_0000979,1
HAM_0000980,1
HAM_0000981,1
HAM_0000983,1
HAM_0000984,1
HAM_0000985,2
HAM_0000986,1
HAM_0000988,1
HAM_0000989,1
HAM_0000990,1
HAM_0000991,1
HAM_0000992,1
HAM_0000995,1
HAM_0000996,3
HAM_0000997,1
HAM_0000999,2
HAM_0001000,1
HAM_0001001,2
HAM_0001002,2
HAM_0001003,1
HAM_0001005,1
HAM_0001006,1
HAM_0001007,1
HAM_0001008,1
HAM_0001009,1
HAM_0001010,1
HAM_0001011,2
HAM_0001012,1
HAM_0001013,1
HAM_0001014,2
HAM_0001015,1
HAM_0001016,1
HAM_0001017,1
HAM_0001019,1
HAM_0001020,1
HAM_0001021,1
HAM_0001022,1
HAM_0001024,2
HAM_0001025,1
HAM_0001026,1
HAM_0001027,3
HAM_0001028,1
HAM_0001029,1
HAM_0001030,1
HAM_0001031,2
HAM_0001032,1
HAM_0001033,1
HAM_0001034,1
HAM_0001035,1
HAM_0001037,2
HAM_0001039,1
HAM_0001040,3
HAM_0001041,2
HAM_0001042,1
HAM_0001043,1
HAM_0001044,1
HAM_0001045,1
HAM_0001046,3
HAM_0001047,1
HAM_0001049,1
HAM_0001050,1
HAM_0001051,1
HAM_0001052,1
HAM_0001053,1
HAM_0001054,1
HAM_0001055,1
HAM_0001056,1
HAM_0001057,2
HAM_0001058,1
HAM_0001059,1
HAM_0001060,1
HAM_0001061,1
HAM_0001062,1
HAM_0001063,1
HAM_0001064,1
HAM_0001065,1
HAM_0001066,1
HAM_0001067,1
HAM_0001068,1
HAM_0001069,2
HAM_0001070,1
HAM_0001071,1
HAM_0001072,1
HAM_0001073,1
HAM_0001074,1
HAM_0001075,1
HAM_0001076,2
HAM_0001077,2
HAM_0001079,1
HAM_0001080,1
HAM_0001081,1
HAM_0001082,1
HAM_0001083,2
HAM_0001084,1
HAM_0001085,1
HAM_0001086,1
HAM_0001087,1
HAM_0001088,2
HAM_0001089,1
HAM_0001090,1
HAM_0001092,1
HAM_0001093,1
HAM_0001094,1
HAM_0001095,1
HAM_0001096,1
HAM_0001097,2
HAM_0001098,1
HAM_0001099,1
HAM_0001100,2
HAM_0001101,1
HAM_0001102,1
HAM_0001103,1
HAM_0001104,2
HAM_0001105,3
HAM_0001106,2
HAM_0001107,2
HAM_0001108,1
HAM_0001109,1
HAM_0001110,1
HAM_0001111,1
HAM_0001112,1
HAM_0001113,1
HAM_0001114,1
HAM_0001115,1
HAM_0001116,1
HAM_0001117,1
HAM_0001118,1
HAM_0001120,1
HAM_0001121,1
HAM_0001123,1
HAM_0001124,1
HAM_0001125,2
HAM_0001126,2
HAM_0001127,1
HAM_0001128,1
HAM_0001130,2
HAM_0001131,1
HAM_0001132,1
HAM_0001133,3
HAM_0001134,1
HAM_0001135,1
HAM_0001136,1
HAM_0001137,2
HAM_0001139,1
HAM_0001140,1
HAM_0001141,2
HAM_0001142,2
HAM_0001143,1
HAM_0001144,1
HAM_0001145,1
HAM_0001146,1
HAM_0001147,1
